"","Phase","week","year","monthname","yearmonth","state","newcases","UE_unweight","UE_weight","CLF_unweight","CLF_weight","scenario","unemp_rt_unweight","unemp_rt_weight"
"100",1,2,2020,"May","2020 May","Florida",183778.542033074,276.549782557364,3522525.37827352,1724.89664933662,9720436.7233902,"scenario 3",0.160328320345293,0.362383448245416
"101",1,6,2020,"Jun","2020 June","Florida",119763.731429961,397.560762573977,2489177.41942815,1660.45200813639,9783240.24160812,"scenario 3",0.239429240126114,0.254432821637322
"102",1,10,2020,"Jul","2020 July","Florida",210272.515516321,432.14801819335,2367132.51271411,1706.2651573535,9970618.64724729,"scenario 3",0.253271313858177,0.23741079630677
"103",2,13,2020,"Aug","2020 August","Florida",192079.115240114,331.000000057137,1865009.23267408,1761.0000000001,10057402.4857716,"scenario 3",0.187961385608812,0.185436471823867
"104",2,14,2020,"Sep","2020 September","Florida",140837.965536839,249.011688231297,1442689.60392334,2247.0544142393,10055525.6878879,"scenario 3",0.110816937343992,0.143472320463672
"105",2,17,2020,"Oct","2020 October","Florida",159161.03795495,186.762422584226,1448913.08063636,2396.35876078801,10147589.5029571,"scenario 3",0.0779359191287415,0.142783966597597
"106",3,19,2020,"Nov","2020 November","Florida",169307.552380019,154.39009010384,1516937.73599253,2344.64816949079,10120891.5969967,"scenario 3",0.0658478709568481,0.149881828241562
"107",3,21,2020,"Dec","2020 December","Florida",195116.977841576,168.608659569526,1565239.71012954,2303.61656929512,10109324.013345,"scenario 3",0.0731930225788914,0.154831293176805
"108",3,22,2021,"Jan","2021 January","Florida",178388.481970762,162.482816129177,1504351.54590707,2379.89601327395,10166314.6701277,"scenario 3",0.0682730737910075,0.147974127766022
"109",3,24,2021,"Feb","2021 February","Florida",148732.845071392,189.527587789555,1569350.39975934,2370.4230522193,10156952.4913133,"scenario 3",0.0799551740825799,0.154509967542087
"110",3,26,2021,"Mar","2021 March","Florida",174096.803922985,182.958173082863,1501942.75108867,2289.38920586823,10232997.8440467,"scenario 3",0.0799157140314541,0.146774461792979
"111",1,2,2020,"May","2020 May","Georgia",76814.9669969509,125.280608583136,1210024.92123384,937.892863669288,4882486.63318609,"scenario 3",0.133576673238567,0.247829643405339
"112",1,6,2020,"Jun","2020 June","Georgia",46657.8700224315,220.819927064157,1044360.72968309,905.699123720877,4914134.19492794,"scenario 3",0.24381157194562,0.212521817324609
"113",1,10,2020,"Jul","2020 July","Georgia",75394.1483684703,215.82906760735,925945.79641254,917.048807516209,5011318.00905554,"scenario 3",0.235351778267849,0.184770911512568
"114",2,13,2020,"Aug","2020 August","Georgia",85305.3469793472,197.000000049548,729445.20656938,874.999997948062,4856156.77559788,"scenario 3",0.225142857727459,0.150210390701312
"115",2,14,2020,"Sep","2020 September","Georgia",54527.0629415809,157.2871855192,615417.916582822,1136.10802759808,5004930.70117951,"scenario 3",0.138443864226302,0.122962325220165
"116",2,17,2020,"Oct","2020 October","Georgia",49885.5390854206,107.802450066689,592500.088117339,1188.19498171291,5019175.80620439,"scenario 3",0.0907279122752059,0.118047287242843
"117",3,19,2020,"Nov","2020 November","Georgia",72043.9786717837,88.9059522422631,609096.771734279,1209.98131822903,5068560.31244724,"scenario 3",0.0734771280373065,0.12017155448234
"118",3,21,2020,"Dec","2020 December","Georgia",130374.292448819,84.1177926573277,614235.806731153,1203.39746243474,5110651.95458211,"scenario 3",0.0699002576315382,0.120187367911141
"119",3,22,2021,"Jan","2021 January","Georgia",82154.5055758716,90.6663090820796,600403.42712554,1184.33775078487,5107723.97089977,"scenario 3",0.0765544364536167,0.117548135049235
"120",3,24,2021,"Feb","2021 February","Georgia",45302.6202306998,110.32972156781,632963.658884576,1221.0152555861,5112386.83606193,"scenario 3",0.0903590033482831,0.123809813142416
"121",3,26,2021,"Mar","2021 March","Georgia",62147.3284607204,99.9609863453392,587322.306396905,1197.3243698058,5112836.14490626,"scenario 3",0.0834869721740922,0.114872115935503
"122",1,2,2020,"May","2020 May","Hawaii",2113.98258977978,121.14851768008,267601.629406946,676.73726635606,633583.467350572,"scenario 3",0.17901854043359,0.422362077290248
"123",1,6,2020,"Jun","2020 June","Hawaii",1309.8556617019,184.368014967319,203681.919269493,661.389031569315,639347.651264813,"scenario 3",0.278758803317101,0.318577723507002
"124",1,10,2020,"Jul","2020 July","Hawaii",2025.97446548413,196.950960499725,199386.3481165,659.42466214387,647050.722004862,"scenario 3",0.298670904814833,0.308146396156871
"125",2,13,2020,"Aug","2020 August","Hawaii",3440.15433618545,190.000000000032,176843.700289931,725.999999999987,651255.157042544,"scenario 3",0.261707988980764,0.271542878973898
"126",2,14,2020,"Sep","2020 September","Hawaii",3358.79374345148,178.216263787057,167076.798845376,738.022319734902,648456.689897967,"scenario 3",0.241478149131143,0.257652980450652
"127",2,17,2020,"Oct","2020 October","Hawaii",2191.09983754537,95.442003279845,122617.334849886,713.307238236494,647575.618289888,"scenario 3",0.13380209559601,0.189348288272021
"128",3,19,2020,"Nov","2020 November","Hawaii",2596.54921915466,67.7617576639842,137408.539355981,711.975498856227,643226.358361231,"scenario 3",0.0951742830656982,0.213623925030157
"129",3,21,2020,"Dec","2020 December","Hawaii",3201.27334485599,77.5050090105636,150757.709184219,688.465999737583,639093.437627921,"scenario 3",0.1125763785577,0.235893063999806
"130",3,22,2021,"Jan","2021 January","Hawaii",2917.88835692014,79.169386876676,142151.272630641,704.176554995416,641421.043373886,"scenario 3",0.1124283197375,0.221619284398471
"131",3,24,2021,"Feb","2021 February","Hawaii",1914.26734031238,78.1765636635202,126633.332959733,702.974139753847,638032.760248624,"scenario 3",0.111208306597017,0.198474656552726
"132",3,26,2021,"Mar","2021 March","Hawaii",2428.59300839176,79.2615225716543,132570.947829713,692.527288616202,630049.071263317,"scenario 3",0.114452562194385,0.210413686609988
"133",1,2,2020,"May","2020 May","Idaho",10156.0832453012,84.5660977758508,192946.890590091,761.600490177878,848879.705251164,"scenario 3",0.11103734683272,0.227295916484424
"134",1,6,2020,"Jun","2020 June","Idaho",6145.840742164,94.0112114709779,111352.052889778,763.190598429717,868988.022481131,"scenario 3",0.12318182596118,0.128139916787168
"135",1,10,2020,"Jul","2020 July","Idaho",13429.9042591401,62.1236073532836,76669.1013084282,765.327129788439,892033.306131233,"scenario 3",0.0811726187865005,0.0859486980827473
"136",2,13,2020,"Aug","2020 August","Idaho",15387.6404844927,76.0000000005874,65640.7270137648,754.99999999724,901994.547174764,"scenario 3",0.100662251656775,0.0727728645581787
"137",2,14,2020,"Sep","2020 September","Idaho",9978.36262561013,69.3978251715305,55288.5347133893,948.057695417691,878324.208462901,"scenario 3",0.0732000019692425,0.0629477522999693
"138",2,17,2020,"Oct","2020 October","Idaho",10564.8497295802,56.2917885201227,52664.8261657369,983.055816543423,887275.406956576,"scenario 3",0.0572620471521682,0.0593556699000386
"139",3,19,2020,"Nov","2020 November","Idaho",14156.2933354085,50.775604953673,58520.0842359479,969.011458545163,878022.9459572,"scenario 3",0.0523993854829184,0.0666498347285795
"140",3,21,2020,"Dec","2020 December","Idaho",24248.6558407433,54.8908048394458,68943.4810932768,1008.40381315518,882493.453522847,"scenario 3",0.0544333570771601,0.0781235042799011
"141",3,22,2021,"Jan","2021 January","Idaho",15027.159869146,40.1044481035424,55795.9995685336,1013.59226560149,888995.685183996,"scenario 3",0.0395666477187881,0.062762958806696
"142",3,24,2021,"Feb","2021 February","Idaho",7900.51939317878,42.6993851030288,57289.2360816536,1037.08869185164,894728.242860638,"scenario 3",0.0411723562685775,0.0640297615938529
"143",3,26,2021,"Mar","2021 March","Idaho",11246.2673937555,42.1392267153964,52971.1484346285,990.672040466,895685.607983111,"scenario 3",0.0425360008096873,0.0591403367012985
"144",1,2,2020,"May","2020 May","Illinois",95359.0450009838,146.000787508216,1743586.72080697,1264.34519352157,6139945.25243794,"scenario 3",0.115475416252077,0.283974310701656
"145",1,6,2020,"Jun","2020 June","Illinois",58291.2364578748,227.138468029731,1415279.10740044,1199.60181702441,6129162.29410939,"scenario 3",0.189344884949528,0.230909060567809
"146",1,10,2020,"Jul","2020 July","Illinois",66480.6766314318,200.868483233909,1180333.91973133,1395.64428208498,6098907.71121243,"scenario 3",0.143925272228986,0.193532018456579
"147",2,13,2020,"Aug","2020 August","Illinois",82150.1300161581,205.000000028499,913228.858298478,1408.00000000002,5998842.77035885,"scenario 3",0.145596590929329,0.152234171365663
"148",2,14,2020,"Sep","2020 September","Illinois",64241.3616032985,182.258751486355,847746.566788241,1513.75145593135,6163942.32011896,"scenario 3",0.120402032164665,0.137533176457738
"149",2,17,2020,"Oct","2020 October","Illinois",58298.8227421857,147.203058376884,810993.108200375,1538.320157468,6202628.66478901,"scenario 3",0.0956907817025377,0.130749904924054
"150",3,19,2020,"Nov","2020 November","Illinois",89653.1372416804,133.144947619157,863168.877548315,1531.67721789111,6200029.44735867,"scenario 3",0.0869275497891637,0.139220125465056
"151",3,21,2020,"Dec","2020 December","Illinois",185300.761327904,136.923029105961,953918.231130257,1462.54429779483,6161969.89962242,"scenario 3",0.0936197483470477,0.154807350030825
"152",3,22,2021,"Jan","2021 January","Illinois",99296.025070171,120.666539314052,858691.910174252,1476.38141383825,6216739.81698647,"scenario 3",0.0817312776922241,0.138125759715403
"153",3,24,2021,"Feb","2021 February","Illinois",52977.8067677413,136.785466785019,878572.605624564,1447.08041820623,6169550.18148729,"scenario 3",0.0945251314744313,0.142404645359861
"154",3,26,2021,"Mar","2021 March","Illinois",74874.1461419079,134.010468791566,838988.948538043,1370.65374623937,6134328.67160619,"scenario 3",0.0977712052801424,0.136769480973762
"155",1,2,2020,"May","2020 May","Indiana",50724.8131412311,96.7808962472528,819450.621925883,824.295651634312,3189413.1324654,"scenario 3",0.117410417069855,0.256928340071282
"156",1,6,2020,"Jun","2020 June","Indiana",28230.35515296,144.444894375727,604794.830384847,791.441553437164,3291581.17434679,"scenario 3",0.182508605655611,0.183739910502091
"157",1,10,2020,"Jul","2020 July","Indiana",34231.8393783222,112.139567237559,443564.039765197,790.754087046354,3313441.94065092,"scenario 3",0.141813452594884,0.133868058565728
"158",2,13,2020,"Aug","2020 August","Indiana",43668.1613172167,109.000000000003,322083.595000667,815.99999999987,3338516.56910394,"scenario 3",0.133578431372574,0.0964750626015657
"159",2,14,2020,"Sep","2020 September","Indiana",29440.8042036615,88.5533078181029,278365.687752677,895.068943178364,3297230.11011167,"scenario 3",0.0989346222913875,0.0844241009746357
